Artist Name,Album Image,Album URL
ガガガSP,https://i.scdn.co/image/ab67616d00001e0214b219b3d425747e2eeee82b,https://open.spotify.com/album/2fftHCw5wj2J0qp7gr41nM
KUMACHI,,
CHARCOAL FILTER,https://i.scdn.co/image/ab67616d00001e0268f90e018aafc6a78915f106,https://open.spotify.com/album/6TSfyzt2Vh5UYexzA8knlX
チャットモンチー,https://i.scdn.co/image/ab67616d00001e02146c6f46e62e18a6aa7ab3fd,https://open.spotify.com/album/2m3ufeqKJqj15XROumkwrG
PEALOUT,https://i.scdn.co/image/ab67616d00001e024133f1017642f4ec8237520b,https://open.spotify.com/album/0F1xMZ5BZCSJfloLjHDC9O
ELLEGARDEN,https://i.scdn.co/image/ab67616d00001e026c795df60a32c2e9448a0cd9,https://open.spotify.com/album/60ZYXQLKm2CcOrPD661eh9
BOØWY,https://i.scdn.co/image/ab67616d00001e02b83dd611d494f54a19904b66,https://open.spotify.com/album/5GzkVQK9aIjhZEOab8zsoq
サディスティック・ミカ・バンド,https://i.scdn.co/image/ab67616d00001e02a52c40474b2d74be4366e662,https://open.spotify.com/album/37suspXjwXOMssZSCdQkFm
X-RAY,https://i.scdn.co/image/ab67616d00001e0288c6758cefd90290e51d8421,https://open.spotify.com/album/4JpxD7o7luAOy2yZh1SnRZ
BLUE ENCOUNT,https://i.scdn.co/image/ab67616d00001e02926909699c1214051c7a9937,https://open.spotify.com/album/4DifEg0usPQvzxk6K9H04Z
PIERROT,https://i.scdn.co/image/ab67616d00001e02d464444c56a59d0ce36878ef,https://open.spotify.com/album/3BK70ecOsuGOTMCSojeNuL
SUPERCAR,https://i.scdn.co/image/ab67616d00001e0219f39eea7e94460c6888a30d,https://open.spotify.com/album/0OIfBC4yIeQ0u6SzcrPr8D
Aqua Timez,https://i.scdn.co/image/ab67616d00001e02b35c6143314a03eee8eef375,https://open.spotify.com/album/1OvmoTpqHudpuwaXLd7fpR
MONKEY MAJIK,https://i.scdn.co/image/ab67616d00001e02089973d1a598473fea382fb2,https://open.spotify.com/album/7D4cMYPY6OmOt9ZEJg4kiC
井上堯之,,
安全地帯,https://i.scdn.co/image/ab67616d00001e02b2c0556506b10c31e0f52e26,https://open.spotify.com/album/2KV0HfeHkw8lrCciVtK2r3
B'z,https://i.scdn.co/image/ab67616d00001e02fd45885da21381f382678147,https://open.spotify.com/album/2kTIyxhz1aGAdKOo8kX4OR
YOUR SONG IS GOOD,https://i.scdn.co/image/ab67616d00001e024e0fb2aede77bd92810990eb,https://open.spotify.com/album/0LUQgXmn8jOo25MBHXk6Lx
アンダーグラフ,https://i.scdn.co/image/ab67616d00001e02ada2b53a70ae303372d818e9,https://open.spotify.com/album/6qXXMHBl98lPf2h28tOUWw
ザ・スパイダース,,
シカゴ,https://i.scdn.co/image/ab67616d00001e029f23f6709a9d8ce4916a0c5d,https://open.spotify.com/album/4Z9XtIhyzMbnB9xTE89tzr
ニッケルバック,https://i.scdn.co/image/ab67616d00001e024f25a8f09ca78fc45b6f66ab,https://open.spotify.com/album/4RzfSdFKOqFP5HAzYOYxy3
アーチ・エネミー,https://i.scdn.co/image/ab67616d00001e02605e65fff6b07ef5c6536158,https://open.spotify.com/album/4HjsgkN5JRpb8k4RDdb3kM
100s,https://i.scdn.co/image/ab67616d00001e02ed54732c236e8bdf68f010e2,https://open.spotify.com/album/3plso3HE5e6Ps6ItVNmgvC
晴晴゛,,
エンペラー,https://i.scdn.co/image/ab67616d00001e02f16b73702e78ed394d575214,https://open.spotify.com/album/0U0lRykzKhjYs0SpdNmstT
エッジ・オブ・サニティ,,
ザ・ハプニングス・フォー,,
ローリング・ストーンズ,https://i.scdn.co/image/ab67616d00001e02ea74bd622640560a8879ad16,https://open.spotify.com/album/17BYe75slJy2AWCLJBlhvO
Red Hot Chili Peppers,https://i.scdn.co/image/ab67616d00001e02aa50644f05f26e73ba950b8c,https://open.spotify.com/album/0KJc9ksnoJJsdpQxV3z5i1
HI-STANDARD,https://i.scdn.co/image/ab67616d00001e02d853d4d73426f4b6d34dcbd3,https://open.spotify.com/album/213jGaJmJFAfCMNxk8xTtX
SHOW-YA,https://i.scdn.co/image/ab67616d00001e0298e3cbfa0a222bdce411447e,https://open.spotify.com/album/5Fpl2pd6cGUjsBsyZa6JvQ
鶴田加奈子,,
平原綾香,https://i.scdn.co/image/ab67616d00001e025ad9c2f451cec172918ba11f,https://open.spotify.com/album/5CiwRfFKjTKer79RcZfUUK
ボン・ジョヴィ,https://i.scdn.co/image/ab67616d00001e029f7ea39890e50740cd33be09,https://open.spotify.com/album/6gZ9rRJt7m8g7ZzK8U6hcq
デイブウェックル,https://i.scdn.co/image/ab67616d00001e02acfca0cd64b9f98d19ad65f9,https://open.spotify.com/album/6shrdFwEW9ei4Bnm4wAPD0
ニルヴァーナ,https://i.scdn.co/image/ab67616d00001e020002f9ab7f6ec9c7d6e04ee9,https://open.spotify.com/album/5oSbmBtgj01GkSxbeR4WOL
スレイヤー,https://i.scdn.co/image/ab67616d00001e0294bf2f86ef2bb808cc60885d,https://open.spotify.com/album/2GBpIJ4xAH6iJVIz4tMjJ6
Tower of Power,https://i.scdn.co/image/ab67616d00001e0253e2a78eef5eb3f2b15046c9,https://open.spotify.com/album/4TLPiW46KqXQ1ILO41fWKt
デニスチェンバース,https://i.scdn.co/image/ab67616d00001e02794212dbd9c9237db44961e4,https://open.spotify.com/album/5YiTpi7O0xx1yXTNXCTHFb
テリーボジオ,,
チェッカーズ,,
THE BOOM,https://i.scdn.co/image/ab67616d00001e02e96eeef4e9fc76dde4a8b51e,https://open.spotify.com/album/15K0QD5VtFt2clN78SDuTa
クーラロビトス,,
アルカナ,https://i.scdn.co/image/ab67616d00001e02a99374ecbd00674794dfc0b0,https://open.spotify.com/album/2zjLkj0O3XMuHovHdtijL6
トーマスラング,https://i.scdn.co/image/ab67616d00001e02efd517d150f6ee6a32a6cc46,https://open.spotify.com/album/1tCIKWx3JL6zFtzr2tlaNm
オジー・オズボーン,https://i.scdn.co/image/ab67616d00001e02b2396840a8fba4ef2785c09d,https://open.spotify.com/album/4u1LXToDGOdhDDf4c9zeqb
ジョーン・ジェット&ザ・ブラックハーツ,,
モトリー・クルー,https://i.scdn.co/image/ab67616d00001e02156ffdd4dbd89856e8f008c0,https://open.spotify.com/album/1jFv3W8u8tVy58FimCgw7O
プリンセス・プリンセス,https://i.scdn.co/image/ab67616d00001e026280e0e867a481555c88d66f,https://open.spotify.com/album/5i5WL6NsDHkZQ5wdYz6GQs
ONE OK ROCK,https://i.scdn.co/image/ab67616d00001e0222bd955b34bfd34a8d449202,https://open.spotify.com/album/6mDmC69i1FO1uF1MMqa9DO
Laputa,https://i.scdn.co/image/ab67616d00001e02d587cfbf0bb7a1b3b5c11492,https://open.spotify.com/album/2HbI0miW54zO0XpzktlW0r
ブリンク182,,
グリーン・デイ,https://i.scdn.co/image/ab67616d00001e02b2339d1993c4cdd17efdcf9e,https://open.spotify.com/album/4AFF6Md43PaWKv5lSMAysd
イーグルス,https://i.scdn.co/image/ab67616d00001e0299524b1d45767cb9216ab29f,https://open.spotify.com/album/4N9EiC0CRRh8CQMBepM3p7
サクソン,https://i.scdn.co/image/ab67616d00001e026fba010055ebaa3b99e98577,https://open.spotify.com/album/5BcD7WBOFmm1LDb9zbhsjd
デミセミクエーバー,,
GRANRODEO,https://i.scdn.co/image/ab67616d00001e02281a7680748505c84a64e716,https://open.spotify.com/album/3zmJTq7IhsEcOS9vJZJIcH
GLAY,https://i.scdn.co/image/ab67616d00001e02139f8cb4e3d18ea7b31d7d2b,https://open.spotify.com/album/6iJ8EkeLS7JrpE3NvUz25R
Syrup16g,https://i.scdn.co/image/ab67616d00001e02036b29c0b07a8b2526997c63,https://open.spotify.com/album/1oNVgCta0qPtdwQEGESzYs
Sunflower's Garden,https://i.scdn.co/image/ab67616d00001e025f83b928e29e33cc60141764,https://open.spotify.com/album/5C8EqKnaaoZQxYLFjZAJ2z
ザ・スターリン,https://i.scdn.co/image/ab67616d00001e02f61769ff627ae070136f72e2,https://open.spotify.com/album/2jOKcVISRGYQgKQ0Afuzty
